time	V(vout)
Step Information: R=1M  (Run: 1/21)
2.486100899368795e-001	8.334190e-003
2.486104764841144e-001	9.872305e-003
2.486107929253926e-001	1.188728e-002
2.486110554650066e-001	1.458448e-002
2.486112754741093e-001	1.830968e-002
2.486114600443717e-001	2.356828e-002
2.486116171918565e-001	3.123254e-002
2.486117549563377e-001	4.287512e-002
2.486118810822563e-001	6.148888e-002
2.486120036327018e-001	9.336050e-002
2.486121365431414e-001	1.516712e-001
2.486122669022544e-001	2.419016e-001
2.486124392148104e-001	4.065284e-001
2.486126260914781e-001	6.201590e-001
2.486128531303239e-001	9.013410e-001
2.486131216735694e-001	1.242090e+000
2.486136275937668e-001	1.883763e+000
2.486146394341616e-001	3.100507e+000
2.486148559940886e-001	3.285554e+000
2.486148856077323e-001	3.294703e+000
2.486149042464688e-001	3.295488e+000
2.486149344402402e-001	3.296280e+000
2.486149743920399e-001	3.296967e+000
2.486150208537578e-001	3.297457e+000
2.486150915411849e-001	3.297901e+000
2.486151710113083e-001	3.298192e+000
2.486153028351680e-001	3.298460e+000
2.486154581913203e-001	3.298634e+000
2.486157304204047e-001	3.298789e+000
2.486160721705245e-001	3.298888e+000
2.486167556707642e-001	3.298974e+000
2.486180527064912e-001	3.299039e+000
2.486206467779453e-001	3.299082e+000
2.486362112066694e-001	3.299116e+000
2.486569637783016e-001	3.299119e+000
2.578343669728815e-001	3.299121e+000
2.656468669728815e-001	3.299123e+000
2.773656169728815e-001	3.299125e+000
2.890843669728815e-001	3.299128e+000
3.008031169728815e-001	3.299129e+000
3.164281169728815e-001	3.299131e+000
3.320531169728815e-001	3.299133e+000
3.437718669728815e-001	3.299129e+000
3.515843669728815e-001	3.299115e+000
3.554906169728815e-001	3.299095e+000
3.559788982228815e-001	3.299089e+000
3.576878825978815e-001	3.299028e+000
3.580540935353815e-001	3.298976e+000
3.582371990041315e-001	3.298915e+000
3.582677165822565e-001	3.298899e+000
3.583287517385065e-001	3.298827e+000
3.584508220510065e-001	3.298520e+000
3.584813396291315e-001	3.298325e+000
3.584889690236627e-001	3.298203e+000
3.585042278127252e-001	3.297787e+000
3.585080425099909e-001	3.297559e+000
3.585156719045221e-001	3.296767e+000
3.585169124247554e-001	3.296510e+000
3.585193934652220e-001	3.295692e+000
3.585198627059110e-001	3.295457e+000
3.585208011872891e-001	3.294746e+000
3.585216622227586e-001	3.293800e+000
3.585222151344357e-001	3.292835e+000
3.585227563372927e-001	3.291354e+000
3.585231153106253e-001	3.289791e+000
3.585234270774317e-001	3.287616e+000
3.585236784646254e-001	3.284782e+000
3.585238893106323e-001	3.280860e+000
3.585240660873946e-001	3.275293e+000
3.585242243472163e-001	3.266715e+000
3.585243597937161e-001	3.253879e+000
3.585244843494175e-001	3.233095e+000
3.585246086477480e-001	3.196793e+000
3.585247406999094e-001	3.132511e+000
3.585248751107300e-001	3.031340e+000
3.585250661331991e-001	2.838577e+000
3.585252692001145e-001	2.600074e+000
3.585254992457168e-001	2.312244e+000
3.585258094406031e-001	1.917562e+000
3.585264261214463e-001	1.130472e+000
3.585265802916570e-001	9.343370e-001
3.585268886320785e-001	5.453195e-001
3.585270896117189e-001	2.969739e-001
3.585272182302614e-001	1.464632e-001
3.585272918742773e-001	6.740417e-002
3.585272961500899e-001	6.335780e-002
3.585273047017150e-001	5.621760e-002
3.585273218049652e-001	4.391063e-002
3.585273560114657e-001	2.586719e-002
3.585273976674356e-001	1.185556e-002
3.585274093098774e-001	9.624427e-003
3.585274275307916e-001	7.647567e-003
3.585274479097472e-001	6.119118e-003
3.585274736978781e-001	4.848925e-003
3.585275010068759e-001	3.982161e-003
3.585275392619199e-001	3.219935e-003
3.585275820804810e-001	2.689498e-003
3.585276450523460e-001	2.223232e-003
3.585277195934923e-001	1.897432e-003
3.585278340251769e-001	1.615963e-003
3.585279775312558e-001	1.420289e-003
3.585282084482929e-001	1.255424e-003
3.585285162849095e-001	1.142550e-003
3.585290405376677e-001	1.051089e-003
3.585298268185735e-001	9.889114e-004
3.585313993803852e-001	9.406126e-004
3.585345445040086e-001	9.075836e-004
3.585408347512554e-001	8.895032e-004
3.585534152457490e-001	8.821109e-004
3.587295421686592e-001	8.809675e-004
3.727819674374767e-001	8.776439e-004
3.845007174374767e-001	8.751929e-004
3.962194674374767e-001	8.730131e-004
4.079382174374767e-001	8.710757e-004
